Root,Transliteration,Meaning,Voice,Class
ई,i,"to go, \nto pervade, \nto conceive, \nto desire, \nto throw, \nto eat\nto go\nto go",,
ईड्,id,to praise\nto praise,,
ईज्,ij,"to go\nto censure, \nto blame",,
इख्,ikh,"to go, \nto move",,
ईख्,ikh,to go,,
ईक्ष्,iksh,to see,,
इल्,il,"to send, \nto cast\nto sleep, \nto throw",,
ईन्,in,"to endeavour, \nto obtain, \nto aim at, \nto wish",,
इन्ध्,indh,"to shine, \nto kindle",,
इङ्ग्,ing,"to go, \nto move",,
इङ्ख्,inkh,"to go, \nto move",,
इण्ट्,int,"to have superhuman faculties, \nto be powerful",,
इन्व्,inv,to pervade\nto please\nto be satisfied,,
ईर्,ir,"to go\nto go, \nto shake\nto throw, \nto pronounce",,
ईर्ष्य्,irshy,to envy,,
इष्,ish,to go\nto repeat\nto wish,,
ईश्,ish,"to rule, \nto command, \nto possess powder",,
ईष्,ish,"to escape, \nto kill, \nto see\nto glean",,
इट्,it,to go,,
जा,ja,"to command, \nto direct\nto know\nto ascertain\nto recognize\nto consider",,
जभ्,jabh,"to yawn, \nto gape",,
जड्,jad,to heap,,
जागृ,jagri,to be awake or watchful,,
जै,jai,to decay,,
जज्,jaj,to fight\nto fight,,
जक्ष्,jaksh,"to eat, \nto consume, \nto laugh",,
जल्,jal,"to cover\nto strike, \nto be rich, \nto hide\nto encircle, \nto be sharp\nto be cold, stiff, dull, or dumb",U,10
जल्प्,jalp,"to speak, \nto prattle, \nto babble, \nto murmur, \nto chatter, \nto praise",P,1
जम्,jam,to eat,,
जम्भ्,jambh,to destroy,,
जम्म्,jamm,to destroy,,
जन्,jan,"to be born\nto be born, \nto grow, \nto become",A,4
जंस्,jans,"to protect, \nto release\nto protect, \nto release",,
जप्,jap,"to know, \nto cause \nto know, \nto see, \nto please\nto mutter, \nto mediate",P,1
